,tipo_prop,barrio,pais,lat,lon,precio_usd,piso,ambientes,sup_total,sup_cubierta,precio_x_m2_usd,subtes,bicis,comisarias,balcon,garage,lavadero,luminoso,subte_linea_d,parrilla,subte_linea_b,aire_acondicionado,piscina,subte_linea_a,terraza,placard,toilette,suite,subte_linea_h,sum,amenities,subte_linea_e,baulera,gimnasio,patio,lujoso,subte_linea_c,dependencias,vestidor,estrenar,villa_urquiza,apto_credito_hipotecario,barrio_norte,jardin,villa_crespo,hidromasaje,san_telmo,vista,sauna,losa_radiante,capital_federal,impecable,interwin,doble_circulacion
204,apartment,Almagro,Argentina,-34.61591370000001,-58.41585870000001,289000.0,3.0,4.0,228.0,167.0,1267.5438596491229,0,1,741.231009680044,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,apartment,Belgrano,Argentina,-34.572860247,-58.4396162589,585000.0,3.0,6.0,304.0,185.0,1924.342105263158,0,0,88.60536146694056,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
208,apartment,Palermo,Argentina,-34.5803723,-58.4143806,465000.0,,5.0,159.0,140.0,2924.5283018867926,0,1,127.82805913962015,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209,apartment,Palermo,Argentina,-34.57154091,-58.4321322175,185000.0,,2.0,36.0,33.0,5138.888888888889,0,1,782.4192189271397,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,apartment,Coghlan,Argentina,-34.5644671,-58.4723081,138000.0,7.0,2.0,66.0,56.0,2090.909090909091,0,0,1036.2278314858177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,PH,Velez Sarsfield,Argentina,-34.6250939,-58.5020515,,,4.0,,,1205.2746101840419,0,0,1684.928154217859,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,house,Caballito,Argentina,-34.6148745,-58.44071410000001,1610021.202144647,2.0,5.0,200.0,200.0,8050.106010723235,0,0,668.1476289057549,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,apartment,Flores,Argentina,-34.6329048,-58.46720799999999,63000.0,,1.0,31.0,31.0,2032.258064516129,1,0,1017.7173131890352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,house,Caballito,Argentina,-34.610347999999995,-58.4477353,250000.0,2.0,4.0,110.0,99.0,2272.7272727272725,0,0,926.5136453778395,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,apartment,Abasto,Argentina,-34.6077076,-58.4119182,99000.0,,3.0,52.0,52.0,1903.8461538461538,2,2,543.8494923590852,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219,PH,Palermo,Argentina,-34.5845904,-58.4304664,110000.0,,1.0,,,3272.892089274555,0,1,1567.2227295168946,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,apartment,Nuñez,Argentina,-34.5499327522,-58.450782827,360000.0,3.0,4.0,147.0,143.0,2448.9795918367345,0,0,921.9672371742045,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,apartment,Belgrano,Argentina,-34.5499217064,-58.4508016024,360000.0,3.0,4.0,147.0,143.0,2448.9795918367345,0,0,924.3737535073932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,apartment,Belgrano,Argentina,-34.5639829756,-58.45013017300001,1450000.0,4.0,5.0,463.0,286.0,3131.7494600431964,1,0,805.1244900456488,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,apartment,Versalles,Argentina,-34.6346259,-58.5102914,125000.0,,3.0,50.0,48.0,2500.0,0,0,827.8042911978687,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
225,apartment,Monte Castro,Argentina,-34.6182787,-58.50052120000001,97000.0,2.0,2.0,51.0,45.0,1901.9607843137255,0,0,2195.227322404712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,apartment,Floresta,Argentina,-34.6325102,-58.4861727,69000.0,,2.0,40.0,40.0,1725.0,0,0,489.4506843883404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,apartment,Monte Castro,Argentina,-34.618587700000006,-58.4996568,135000.0,2.0,3.0,63.0,53.0,2142.8571428571427,0,0,2095.861230987452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,house,Recoleta,Argentina,-34.5925464,-58.4014718,1402833.2225913622,,7.0,500.0,500.0,2805.6664451827246,2,2,606.7911450150496,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,apartment,Recoleta,Argentina,-34.586109,-58.3875047,179500.0,,2.0,40.0,4.0,4487.5,0,2,775.7332494304404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,store,Capital Federal,Argentina,-34.6,-58.45,53000.0,,,23.343102418809245,24.0,2270.477978852289,0,0,992.512079454785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,PH,Villa Santa Rita,Argentina,-34.621961,-58.47986,168000.0,6.0,4.0,29.009955730401508,20.0,5791.115352304429,0,0,875.6060608072503,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,apartment,Palermo,Argentina,-34.589059000000006,-58.410881,375000.0,6.0,4.0,154.76374511047638,137.0,2423.048109441332,1,3,579.1801454688758,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,apartment,Parque Chas,Argentina,-34.58423,-58.47870089999999,164220.0,,3.0,76.0,46.0,2160.7894736842104,0,0,1274.365384510687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,PH,Las Cañitas,Argentina,-34.5724217384,-58.4314505154,158000.0,,2.0,55.0,55.0,2872.7272727272725,0,1,838.8821604368472,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
253,apartment,Chacarita,Argentina,-34.584971,-58.454193,84500.0,1.0,2.0,36.480434815673334,33.0,2316.3101105279507,1,1,688.4748312487494,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,apartment,Chacarita,Argentina,-34.584971,-58.454193,87500.0,1.0,2.0,36.480434815673334,33.0,2398.545972440186,1,1,688.4748312487494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,apartment,Chacarita,Argentina,-34.584971,-58.454193,89000.0,1.0,2.0,36.480434815673334,33.0,2439.663903396303,1,1,688.4748312487494,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
256,apartment,Congreso,Argentina,-34.607641,-58.391615,87000.0,72.0,2.0,46.9289546093484,44.0,1853.866141366578,2,4,586.3625498604575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,apartment,Palermo,Argentina,-34.58856,-58.430530000000005,138000.0,1.0,2.0,39.53818305742097,35.0,3490.296956731263,0,1,1623.5023207436284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,apartment,Chacarita,Argentina,-34.584971,-58.454193,86000.0,1.0,2.0,37.585902537360404,34.0,2288.09192261689,1,1,688.4748312487494,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,apartment,Chacarita,Argentina,-34.584971,-58.454193,87500.0,1.0,2.0,37.585902537360404,34.0,2328.000502662533,1,1,688.4748312487494,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
262,apartment,Chacarita,Argentina,-34.584971,-58.454193,90500.0,1.0,2.0,37.585902537360404,34.0,2407.81766275382,1,1,688.4748312487494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
266,PH,Floresta,Argentina,-34.646489,-58.470771,117000.0,10.0,3.0,74.42064401866561,54.0,1572.14441695311,0,0,832.4607409417913,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,apartment,Flores,Argentina,-34.638369299999994,-58.4790524,74000.0,,2.0,55.0,45.0,1345.4545454545455,0,0,456.8793704989284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,house,Colegiales,Argentina,-34.5764717713,-58.4607502897,1550000.0,30.0,10.0,734.1389163579678,660.0,2111.3170347779474,0,0,1713.8212523914522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,apartment,Capital Federal,Argentina,-34.6,-58.45,265000.0,3.0,,77.0,69.0,3441.5584415584417,0,0,992.512079454785,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,house,Mataderos,Argentina,-34.652398100000006,-58.49385600000001,165000.0,,4.0,222.0,69.0,743.2432432432432,0,0,1338.9704492583846,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,apartment,Belgrano,Argentina,-34.5621876,-58.4430869,525254.9905574543,2.0,4.0,170.0,155.0,3089.7352385732606,0,0,824.8418633847255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,apartment,Barrio Norte,Argentina,-34.57587589999999,-58.40242760000001,inf,3.0,5.0,231.0,214.0,inf,0,1,1382.9898055649403,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,apartment,Recoleta,Argentina,-34.59202929999999,-58.388441500000006,320000.0,,3.0,108.0,100.0,2962.962962962963,0,1,445.93532266405356,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
316,apartment,Barrio Norte,Argentina,-34.595608299999995,-58.3863485,630000.0,,5.0,309.0,309.0,2038.8349514563106,0,4,693.2552911945188,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,apartment,Barracas,Argentina,-34.6396767,-58.369328,160000.0,2.0,1.0,84.0,80.0,1904.7619047619048,0,1,644.8317577983508,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,apartment,Barracas,Argentina,-34.6396767,-58.369328,218947.0,2.0,1.0,88.0,81.0,2488.034090909091,0,1,644.8317577983508,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
340,apartment,Barrio Norte,Argentina,-34.591717700000004,-58.400682,194000.0,2.0,4.0,60.0,60.0,3233.3333333333335,2,3,719.5538367366518,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
